page,indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal,download_date
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2019,100.132231486206,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2018,98.8964132848482,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2017,97.6425331640275,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2016,96.3507363150207,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2015,95.0452955746817,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2020,96.4641506190249,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2019,96.0537072110375,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2018,95.5449657600357,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2017,94.9633324807395,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2016,94.2934275152547,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z4,East Asia & Pacific,EAS,2015,93.6679362494343,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2022,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2020,132.081920461241,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2019,131.460447793922,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2018,130.719845394303,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2017,129.870539639941,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2016,128.887296839382,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),4E,East Asia & Pacific (excluding high income),EAP,2015,127.922867726957,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2022,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2020,131.457659668976,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2019,130.83849878964,,,0,2023-08-31
